word,frequency
meals,4258
surprised,4258
poor,4251
sides,4250
salsa,4244
truly,4243
rest,4208
feel like,4208
black,4199
ambiance,4190
worked,4190
number,4186
opened,4182
minute,4182
knowledgeable,4178
boyfriend,4168
girl,4167
type,4161
oil,4154
eaten,4147
daughter,4137
rooms,4122
giving,4105
world,4086
desk,4083
based,4078
tampa,4077
seriously,4042
bought,4019
sausage,4018
excited,3997
incredible,3984
appetizers,3981
bland,3971
downtown,3964
longer,3962
neighborhood,3962
added,3957
read,3941
exactly,3938
remember,3934
talk,3931
salmon,3929
chinese,3927
soft,3925
management,3921
th,3898
specials,3890
pieces,3889
fix,3885
mac cheese,3871
tender,3865
outdoor,3859
issues,3855
building,3839
cafe,3833
including,3827
pie,3819
located,3818
closed,3811
crust,3810
vegan,3804
choices,3801
crowded,3799
helped,3797
tour,3796
outstanding,3790
loud,3777
visited,3765
toast,3760
greeted,3750
questions,3741
watch,3729
sign,3720
game,3685
interesting,3675
dirty,3665
owners,3663
massage,3663
entrees,3660
wedding,3659
noticed,3653
piece,3653
cup,3644
spent,3631
treat,3627
vibe,3617
checked,3616
tomato,3614
showed,3609
son,3601
buffet,3590
onion,3588
miss,3573
good service,3551
lovely,3549
pulled,3545
fair,3543
food service,3532
noodles,3529
plates,3523
process,3508
idea,3506
sorry,3502
nail,3501
level,3490
service good,3484
mean,3483
happened,3480
ribs,3479
attention,3478
charged,3475
multiple,3472
sent,3468
says,3464
ones,3462
baked,3453
lobster,3453
turned,3448
seat,3447
pricey,3447
simply,3440
cocktails,3430
tonight,3422
woman,3420
spend,3420
credit,3415
corn,3408
feeling,3407
entree,3407
center,3401
market,3394
establishment,3384
head,3381
low,3380
hungry,3376
grab,3366
solid,3366
vegetarian,3350
filled,3349
mom,3347
gem,3337
view,3326
seasoned,3324
hear,3321
aren,3314
paying,3313
talking,3311
chance,3298
afternoon,3297
salads,3282
window,3269
disappointing,3268
reno,3266
goes,3260
picked,3258
medium,3239
friendly staff,3239
awful,3230
basically,3225
mouth,3224
young,3222
onions,3218
finish,3217
south,3212
pho,3212
returning,3209
cash,3209
hostess,3205
plan,3199
takes,3194
delivered,3194
toppings,3194
mention,3191
share,3185
pool,3174
stayed,3167
asking,3165
definitely recommend,3159
incredibly,3153
explained,3150
tasting,3144
bathroom,3144
box,3143
single,3136
homemade,3136
finished,3130
case,3129
filling,3129
clearly,3128
non,3124
dogs,3115
future,3099
team,3093
dressing,3084
total,3081
wall,3075
great experience,3073
attitude,3068
serving,3062
nola,3061
ahead,3057
long time,3049
shopping,3032
recommend place,3032
certainly,3025
event,3016
burrito,3014
changed,3014
salty,3011
min,3005
welcoming,3002
gotten,2992
employee,2983
note,2982
easily,2975
boy,2971
sauces,2968
chose,2963
standard,2955
color,2953
middle,2950
touch,2945
accommodating,2935
true,2933
tucson,2916
truck,2916
item,2914
using,2911
stand,2910
louis,2905
beach,2895
mix,2887
food delicious,2886
lamb,2885
addition,2883
services,2876
running,2868
tuna,2866
crowd,2859
mall,2852
bed,2850
unless,2848
purchase,2814
play,2809
shared,2803
limited,2803
mins,2801
write,2799
treated,2799
stuffed,2795
cocktail,2789
fairly,2789
face,2787
salt,2780
leaving,2779
fried chicken,2773
pleased,2769
included,2768
veggies,2766
speak,2759
covid,2750
reservations,2739
super friendly,2727
curry,2725
healthy,2725
cook,2720
opinion,2718
dark,2715
tastes,2708
crazy,2707
frozen,2704
mixed,2697
felt like,2693
value,2689
overpriced,2689
appreciate,2689
sad,2680
tiny,2680
blue,2673
class,2672
products,2672
dip,2669
lol,2668
bottle,2667
lived,2666
typical,2666
generous,2665
fabulous,2663
yum,2661
split,2661
casual,2654
forgot,2652
la,2647
slightly,2645
duck,2638
tasted like,2638
waste,2634
brisket,2630
place great,2628
supposed,2627
despite,2626
school,2625
lack,2622
original,2610
personal,2610
st louis,2599
efficient,2594
avoid,2592
honest,2582
moving,2581
complaint,2579
philadelphia,2573
mediocre,2573
guests,2573
matter,2572
heat,2570
die,2569
patient,2559
met,2559
cleaning,2559
obviously,2558
donuts,2554
milk,2553
bag,2553
fixed,2545
summer,2544
thinking,2541
sell,2541
works,2540
book,2540
chain,2538
corner,2536
environment,2534
santa,2532
lettuce,2532
grits,2531
spice,2521
air,2514
indian,2507
parking lot,2494
fruit,2493
veggie,2492
covered,2489
mentioned,2487
barely,2486
missing,2485
apparently,2483
lost,2480
desserts,2480
notch,2479
possible,2478
creamy,2473
general,2472
provided,2461
save,2460
eye,2456
traditional,2453
great job,2452
forget,2449
placed,2447
spots,2442
hold,2441
knows,2440
greasy,2439
considering,2437
clear,2429
chili,2426
polite,2425
sales,2418
worse,2418
dollars,2417
state,2416
wait staff,2412
complete,2406
conversation,2403
don think,2402
folks,2400
really nice,2399
airport,2398
expecting,2398
purchased,2396
right away,2392
reading,2388
website,2387
turn,2383
answer,2383
weird,2379
slice,2378
diner,2377
satisfied,2377
pancakes,2375
seats,2374
really enjoyed,2369
difficult,2369
situation,2368
normally,2368
perfection,2364
quiet,2362
club,2357
seeing,2354
pepper,2352
negative,2349
rare,2349
playing,2346
checking,2342
update,2340
expectations,2331
avocado,2329
pictures,2327
turkey,2323
sour,2316
joint,2315
convenient,2308
smaller,2306
double,2299
nights,2297
barbara,2292
games,2291
surprise,2287
affordable,2282
rating,2282
american,2278
hate,2277
foods,2276
strong,2275
girls,2275
favorites,2273
stores,2271
section,2269
word,2269
gravy,2266
sort,2264
years ago,2263
grill,2261
usual,2258
pass,2256
tomatoes,2255
